timestamp	db	table	event	delta	total	row_dump
2026-05-03 18:47:22	SHOPER9X01	StkTrnHdr	INSERT	1	16481	{'TrnType': 2200, 'TrnCtrlNo': 33, 'DocNoPrefix': 'TO23', 'DocNo': 2, 'DocRsnCd': 'TFR', 'DocDt': datetime.datetime(2024, 2, 24, 0, 0), 'DocTime': datetime.datetime(2024, 2, 24, 14, 1, 10, 550000), 'PackCountDoc': 0, 'PackCountPhy': 0, 'PartyType': 20, 'PartyId': 'CWS', 'PartyStkDocDt': datetime.datetime(1900, 1, 1, 0, 0), 'OrdDocType': 0, 'OrdDocNo': 0, 'AccDocTyp': 0, 'TotDocValue': Decimal('46073.4000'), 'TotDocDisc': Decimal('0.0000'), 'TotDocTax': Decimal('0.0000'), 'TotDocAddons': Decimal(
2026-05-03 18:47:22	SHOPER9X01	POSCashTrn	INSERT	1	16640	{'EntryType': 31, 'CtrlNo': 925, 'EntSrlNo': 1, 'DocNoPrefix': 'R25', 'DocNo': 14, 'DocDt': datetime.datetime(2025, 8, 3, 0, 0), 'DocTime': datetime.datetime(2025, 8, 3, 21, 26, 5, 30000), 'SaleRefTrnType': 1300, 'SaleRefDocPrefix': 'SR25', 'SaleRefDocNo': 14, 'PayModeType': 8, 'PayModeCode': 'Credit Note', 'PaidUnits': Decimal('1592.0000'), 'AppliedConvRate': Decimal('0.0000'), 'LocCurrRcptAmt': Decimal('1592.0000'), 'LocCurrPaidAmt': Decimal('0.0000'), 'LocCurrNetAmt': Decimal('1592.0000'), 'T
2026-05-03 18:47:22	SHOPER9X01	SaleTrnHdr	INSERT	1	36103	{'SaleTrnType': 2100, 'SaleTrnCtrlNo': 112062, 'ProdServInd': '1', 'BillType': '1', 'DocNoPrefix': 'SS25', 'DocNo': 2114, 'DocDt': datetime.datetime(2025, 8, 14, 0, 0), 'DocTime': datetime.datetime(2026, 5, 3, 6, 17, 21, 750000), 'FwdRefTrnType': 0, 'FwdRefCtrlNo': 0, 'BackRefTrnType': 0, 'BackRefCtrlNo': 0, 'CustCd': '9987305007', 'SalesPersonCd': 'AY', 'CashierCd': 'super', 'CustTaxType': '0', 'StkTrnTypeSale': 2100, 'StkTrnCtrlNoSale': 112062, 'StkTrnTypeGift': 0, 'StkTrnCtrlNoGift': 0, 'Tran
2026-05-03 18:53:42	SHOPER9X01	StkTrnHdr	INSERT	1	16482	{'TrnType': 2200, 'TrnCtrlNo': 33, 'DocNoPrefix': 'TO23', 'DocNo': 2, 'DocRsnCd': 'TFR', 'DocDt': datetime.datetime(2024, 2, 24, 0, 0), 'DocTime': datetime.datetime(2024, 2, 24, 14, 1, 10, 550000), 'PackCountDoc': 0, 'PackCountPhy': 0, 'PartyType': 20, 'PartyId': 'CWS', 'PartyStkDocDt': datetime.datetime(1900, 1, 1, 0, 0), 'OrdDocType': 0, 'OrdDocNo': 0, 'AccDocTyp': 0, 'TotDocValue': Decimal('46073.4000'), 'TotDocDisc': Decimal('0.0000'), 'TotDocTax': Decimal('0.0000'), 'TotDocAddons': Decimal(
2026-05-03 18:53:42	SHOPER9X01	POSCashTrn	INSERT	1	16641	{'EntryType': 31, 'CtrlNo': 925, 'EntSrlNo': 1, 'DocNoPrefix': 'R25', 'DocNo': 14, 'DocDt': datetime.datetime(2025, 8, 3, 0, 0), 'DocTime': datetime.datetime(2025, 8, 3, 21, 26, 5, 30000), 'SaleRefTrnType': 1300, 'SaleRefDocPrefix': 'SR25', 'SaleRefDocNo': 14, 'PayModeType': 8, 'PayModeCode': 'Credit Note', 'PaidUnits': Decimal('1592.0000'), 'AppliedConvRate': Decimal('0.0000'), 'LocCurrRcptAmt': Decimal('1592.0000'), 'LocCurrPaidAmt': Decimal('0.0000'), 'LocCurrNetAmt': Decimal('1592.0000'), 'T
2026-05-03 18:53:43	SHOPER9X01	SaleTrnHdr	INSERT	1	36104	{'SaleTrnType': 2100, 'SaleTrnCtrlNo': 112063, 'ProdServInd': '1', 'BillType': '1', 'DocNoPrefix': 'SS25', 'DocNo': 2115, 'DocDt': datetime.datetime(2025, 8, 14, 0, 0), 'DocTime': datetime.datetime(2026, 5, 3, 6, 23, 42, 373000), 'FwdRefTrnType': 0, 'FwdRefCtrlNo': 0, 'BackRefTrnType': 0, 'BackRefCtrlNo': 0, 'CashierCd': 'super', 'StkTrnTypeSale': 2100, 'StkTrnCtrlNoSale': 112063, 'StkTrnTypeGift': 0, 'StkTrnCtrlNoGift': 0, 'TransDocDt': datetime.datetime(1899, 12, 30, 0, 0), 'CreditDays': 0, 'P
2026-05-03 18:53:43	Shoper9X01	StkTrnHdr	INSERT	1	16482	{'TrnType': 2200, 'TrnCtrlNo': 33, 'DocNoPrefix': 'TO23', 'DocNo': 2, 'DocRsnCd': 'TFR', 'DocDt': datetime.datetime(2024, 2, 24, 0, 0), 'DocTime': datetime.datetime(2024, 2, 24, 14, 1, 10, 550000), 'PackCountDoc': 0, 'PackCountPhy': 0, 'PartyType': 20, 'PartyId': 'CWS', 'PartyStkDocDt': datetime.datetime(1900, 1, 1, 0, 0), 'OrdDocType': 0, 'OrdDocNo': 0, 'AccDocTyp': 0, 'TotDocValue': Decimal('46073.4000'), 'TotDocDisc': Decimal('0.0000'), 'TotDocTax': Decimal('0.0000'), 'TotDocAddons': Decimal(
2026-05-03 18:53:43	Shoper9X01	POSCashTrn	INSERT	1	16641	{'EntryType': 31, 'CtrlNo': 925, 'EntSrlNo': 1, 'DocNoPrefix': 'R25', 'DocNo': 14, 'DocDt': datetime.datetime(2025, 8, 3, 0, 0), 'DocTime': datetime.datetime(2025, 8, 3, 21, 26, 5, 30000), 'SaleRefTrnType': 1300, 'SaleRefDocPrefix': 'SR25', 'SaleRefDocNo': 14, 'PayModeType': 8, 'PayModeCode': 'Credit Note', 'PaidUnits': Decimal('1592.0000'), 'AppliedConvRate': Decimal('0.0000'), 'LocCurrRcptAmt': Decimal('1592.0000'), 'LocCurrPaidAmt': Decimal('0.0000'), 'LocCurrNetAmt': Decimal('1592.0000'), 'T
2026-05-03 18:53:43	Shoper9X01	SaleTrnHdr	INSERT	1	36104	{'SaleTrnType': 2100, 'SaleTrnCtrlNo': 112063, 'ProdServInd': '1', 'BillType': '1', 'DocNoPrefix': 'SS25', 'DocNo': 2115, 'DocDt': datetime.datetime(2025, 8, 14, 0, 0), 'DocTime': datetime.datetime(2026, 5, 3, 6, 23, 42, 373000), 'FwdRefTrnType': 0, 'FwdRefCtrlNo': 0, 'BackRefTrnType': 0, 'BackRefCtrlNo': 0, 'CashierCd': 'super', 'StkTrnTypeSale': 2100, 'StkTrnCtrlNoSale': 112063, 'StkTrnTypeGift': 0, 'StkTrnCtrlNoGift': 0, 'TransDocDt': datetime.datetime(1899, 12, 30, 0, 0), 'CreditDays': 0, 'P
2026-05-03 18:55:20	SHOPER9X01	StkTrnHdr	INSERT	1	16483	{'TrnType': 2200, 'TrnCtrlNo': 33, 'DocNoPrefix': 'TO23', 'DocNo': 2, 'DocRsnCd': 'TFR', 'DocDt': datetime.datetime(2024, 2, 24, 0, 0), 'DocTime': datetime.datetime(2024, 2, 24, 14, 1, 10, 550000), 'PackCountDoc': 0, 'PackCountPhy': 0, 'PartyType': 20, 'PartyId': 'CWS', 'PartyStkDocDt': datetime.datetime(1900, 1, 1, 0, 0), 'OrdDocType': 0, 'OrdDocNo': 0, 'AccDocTyp': 0, 'TotDocValue': Decimal('46073.4000'), 'TotDocDisc': Decimal('0.0000'), 'TotDocTax': Decimal('0.0000'), 'TotDocAddons': Decimal(
2026-05-03 18:55:20	SHOPER9X01	POSCashTrn	INSERT	1	16642	{'EntryType': 31, 'CtrlNo': 925, 'EntSrlNo': 1, 'DocNoPrefix': 'R25', 'DocNo': 14, 'DocDt': datetime.datetime(2025, 8, 3, 0, 0), 'DocTime': datetime.datetime(2025, 8, 3, 21, 26, 5, 30000), 'SaleRefTrnType': 1300, 'SaleRefDocPrefix': 'SR25', 'SaleRefDocNo': 14, 'PayModeType': 8, 'PayModeCode': 'Credit Note', 'PaidUnits': Decimal('1592.0000'), 'AppliedConvRate': Decimal('0.0000'), 'LocCurrRcptAmt': Decimal('1592.0000'), 'LocCurrPaidAmt': Decimal('0.0000'), 'LocCurrNetAmt': Decimal('1592.0000'), 'T
2026-05-03 18:55:20	SHOPER9X01	SaleTrnHdr	INSERT	1	36105	{'SaleTrnType': 2100, 'SaleTrnCtrlNo': 112064, 'ProdServInd': '1', 'BillType': '1', 'DocNoPrefix': 'SS25', 'DocNo': 2116, 'DocDt': datetime.datetime(2025, 8, 14, 0, 0), 'DocTime': datetime.datetime(2026, 5, 3, 6, 25, 19, 110000), 'FwdRefTrnType': 0, 'FwdRefCtrlNo': 0, 'BackRefTrnType': 0, 'BackRefCtrlNo': 0, 'CashierCd': 'super', 'StkTrnTypeSale': 2100, 'StkTrnCtrlNoSale': 112064, 'StkTrnTypeGift': 0, 'StkTrnCtrlNoGift': 0, 'TransDocDt': datetime.datetime(1899, 12, 30, 0, 0), 'CreditDays': 0, 'P
2026-05-03 18:55:20	Shoper9X01	StkTrnHdr	INSERT	1	16483	{'TrnType': 2200, 'TrnCtrlNo': 33, 'DocNoPrefix': 'TO23', 'DocNo': 2, 'DocRsnCd': 'TFR', 'DocDt': datetime.datetime(2024, 2, 24, 0, 0), 'DocTime': datetime.datetime(2024, 2, 24, 14, 1, 10, 550000), 'PackCountDoc': 0, 'PackCountPhy': 0, 'PartyType': 20, 'PartyId': 'CWS', 'PartyStkDocDt': datetime.datetime(1900, 1, 1, 0, 0), 'OrdDocType': 0, 'OrdDocNo': 0, 'AccDocTyp': 0, 'TotDocValue': Decimal('46073.4000'), 'TotDocDisc': Decimal('0.0000'), 'TotDocTax': Decimal('0.0000'), 'TotDocAddons': Decimal(
2026-05-03 18:55:20	Shoper9X01	POSCashTrn	INSERT	1	16642	{'EntryType': 31, 'CtrlNo': 925, 'EntSrlNo': 1, 'DocNoPrefix': 'R25', 'DocNo': 14, 'DocDt': datetime.datetime(2025, 8, 3, 0, 0), 'DocTime': datetime.datetime(2025, 8, 3, 21, 26, 5, 30000), 'SaleRefTrnType': 1300, 'SaleRefDocPrefix': 'SR25', 'SaleRefDocNo': 14, 'PayModeType': 8, 'PayModeCode': 'Credit Note', 'PaidUnits': Decimal('1592.0000'), 'AppliedConvRate': Decimal('0.0000'), 'LocCurrRcptAmt': Decimal('1592.0000'), 'LocCurrPaidAmt': Decimal('0.0000'), 'LocCurrNetAmt': Decimal('1592.0000'), 'T
2026-05-03 18:55:20	Shoper9X01	SaleTrnHdr	INSERT	1	36105	{'SaleTrnType': 2100, 'SaleTrnCtrlNo': 112064, 'ProdServInd': '1', 'BillType': '1', 'DocNoPrefix': 'SS25', 'DocNo': 2116, 'DocDt': datetime.datetime(2025, 8, 14, 0, 0), 'DocTime': datetime.datetime(2026, 5, 3, 6, 25, 19, 110000), 'FwdRefTrnType': 0, 'FwdRefCtrlNo': 0, 'BackRefTrnType': 0, 'BackRefCtrlNo': 0, 'CashierCd': 'super', 'StkTrnTypeSale': 2100, 'StkTrnCtrlNoSale': 112064, 'StkTrnTypeGift': 0, 'StkTrnCtrlNoGift': 0, 'TransDocDt': datetime.datetime(1899, 12, 30, 0, 0), 'CreditDays': 0, 'P
2026-05-03 18:55:20	Shoper9X01	StkTrnHdr	INSERT	1	16483	{'TrnType': 2200, 'TrnCtrlNo': 33, 'DocNoPrefix': 'TO23', 'DocNo': 2, 'DocRsnCd': 'TFR', 'DocDt': datetime.datetime(2024, 2, 24, 0, 0), 'DocTime': datetime.datetime(2024, 2, 24, 14, 1, 10, 550000), 'PackCountDoc': 0, 'PackCountPhy': 0, 'PartyType': 20, 'PartyId': 'CWS', 'PartyStkDocDt': datetime.datetime(1900, 1, 1, 0, 0), 'OrdDocType': 0, 'OrdDocNo': 0, 'AccDocTyp': 0, 'TotDocValue': Decimal('46073.4000'), 'TotDocDisc': Decimal('0.0000'), 'TotDocTax': Decimal('0.0000'), 'TotDocAddons': Decimal(
2026-05-03 18:55:20	Shoper9X01	POSCashTrn	INSERT	1	16642	{'EntryType': 31, 'CtrlNo': 925, 'EntSrlNo': 1, 'DocNoPrefix': 'R25', 'DocNo': 14, 'DocDt': datetime.datetime(2025, 8, 3, 0, 0), 'DocTime': datetime.datetime(2025, 8, 3, 21, 26, 5, 30000), 'SaleRefTrnType': 1300, 'SaleRefDocPrefix': 'SR25', 'SaleRefDocNo': 14, 'PayModeType': 8, 'PayModeCode': 'Credit Note', 'PaidUnits': Decimal('1592.0000'), 'AppliedConvRate': Decimal('0.0000'), 'LocCurrRcptAmt': Decimal('1592.0000'), 'LocCurrPaidAmt': Decimal('0.0000'), 'LocCurrNetAmt': Decimal('1592.0000'), 'T
2026-05-03 18:55:20	Shoper9X01	SaleTrnHdr	INSERT	1	36105	{'SaleTrnType': 2100, 'SaleTrnCtrlNo': 112064, 'ProdServInd': '1', 'BillType': '1', 'DocNoPrefix': 'SS25', 'DocNo': 2116, 'DocDt': datetime.datetime(2025, 8, 14, 0, 0), 'DocTime': datetime.datetime(2026, 5, 3, 6, 25, 19, 110000), 'FwdRefTrnType': 0, 'FwdRefCtrlNo': 0, 'BackRefTrnType': 0, 'BackRefCtrlNo': 0, 'CashierCd': 'super', 'StkTrnTypeSale': 2100, 'StkTrnCtrlNoSale': 112064, 'StkTrnTypeGift': 0, 'StkTrnCtrlNoGift': 0, 'TransDocDt': datetime.datetime(1899, 12, 30, 0, 0), 'CreditDays': 0, 'P
2026-05-03 19:08:25	Shoper9X01	StkTrnHdr	INSERT	1	16484	{'TrnType': 2200, 'TrnCtrlNo': 33, 'DocNoPrefix': 'TO23', 'DocNo': 2, 'DocRsnCd': 'TFR', 'DocDt': datetime.datetime(2024, 2, 24, 0, 0), 'DocTime': datetime.datetime(2024, 2, 24, 14, 1, 10, 550000), 'PackCountDoc': 0, 'PackCountPhy': 0, 'PartyType': 20, 'PartyId': 'CWS', 'PartyStkDocDt': datetime.datetime(1900, 1, 1, 0, 0), 'OrdDocType': 0, 'OrdDocNo': 0, 'AccDocTyp': 0, 'TotDocValue': Decimal('46073.4000'), 'TotDocDisc': Decimal('0.0000'), 'TotDocTax': Decimal('0.0000'), 'TotDocAddons': Decimal(
2026-05-03 19:08:25	Shoper9X01	POSCashTrn	INSERT	1	16643	{'EntryType': 31, 'CtrlNo': 925, 'EntSrlNo': 1, 'DocNoPrefix': 'R25', 'DocNo': 14, 'DocDt': datetime.datetime(2025, 8, 3, 0, 0), 'DocTime': datetime.datetime(2025, 8, 3, 21, 26, 5, 30000), 'SaleRefTrnType': 1300, 'SaleRefDocPrefix': 'SR25', 'SaleRefDocNo': 14, 'PayModeType': 8, 'PayModeCode': 'Credit Note', 'PaidUnits': Decimal('1592.0000'), 'AppliedConvRate': Decimal('0.0000'), 'LocCurrRcptAmt': Decimal('1592.0000'), 'LocCurrPaidAmt': Decimal('0.0000'), 'LocCurrNetAmt': Decimal('1592.0000'), 'T
2026-05-03 19:08:25	Shoper9X01	SaleTrnHdr	INSERT	1	36106	{'SaleTrnType': 2100, 'SaleTrnCtrlNo': 112065, 'ProdServInd': '1', 'BillType': '1', 'DocNoPrefix': 'SS25', 'DocNo': 2117, 'DocDt': datetime.datetime(2025, 8, 14, 0, 0), 'DocTime': datetime.datetime(2026, 5, 3, 6, 38, 24, 697000), 'FwdRefTrnType': 0, 'FwdRefCtrlNo': 0, 'BackRefTrnType': 0, 'BackRefCtrlNo': 0, 'CustCd': 'Aditi001', 'SalesPersonCd': 'JI', 'CashierCd': 'super', 'CustTaxType': '0', 'StkTrnTypeSale': 2100, 'StkTrnCtrlNoSale': 112065, 'StkTrnTypeGift': 0, 'StkTrnCtrlNoGift': 0, 'TransD
2026-05-03 19:08:25	Shoper9X01	StkTrnHdr	INSERT	1	16484	{'TrnType': 2200, 'TrnCtrlNo': 33, 'DocNoPrefix': 'TO23', 'DocNo': 2, 'DocRsnCd': 'TFR', 'DocDt': datetime.datetime(2024, 2, 24, 0, 0), 'DocTime': datetime.datetime(2024, 2, 24, 14, 1, 10, 550000), 'PackCountDoc': 0, 'PackCountPhy': 0, 'PartyType': 20, 'PartyId': 'CWS', 'PartyStkDocDt': datetime.datetime(1900, 1, 1, 0, 0), 'OrdDocType': 0, 'OrdDocNo': 0, 'AccDocTyp': 0, 'TotDocValue': Decimal('46073.4000'), 'TotDocDisc': Decimal('0.0000'), 'TotDocTax': Decimal('0.0000'), 'TotDocAddons': Decimal(
2026-05-03 19:08:25	SHOPER9X01	StkTrnHdr	INSERT	1	16484	{'TrnType': 2200, 'TrnCtrlNo': 33, 'DocNoPrefix': 'TO23', 'DocNo': 2, 'DocRsnCd': 'TFR', 'DocDt': datetime.datetime(2024, 2, 24, 0, 0), 'DocTime': datetime.datetime(2024, 2, 24, 14, 1, 10, 550000), 'PackCountDoc': 0, 'PackCountPhy': 0, 'PartyType': 20, 'PartyId': 'CWS', 'PartyStkDocDt': datetime.datetime(1900, 1, 1, 0, 0), 'OrdDocType': 0, 'OrdDocNo': 0, 'AccDocTyp': 0, 'TotDocValue': Decimal('46073.4000'), 'TotDocDisc': Decimal('0.0000'), 'TotDocTax': Decimal('0.0000'), 'TotDocAddons': Decimal(
2026-05-03 19:08:25	SHOPER9X01	POSCashTrn	INSERT	1	16643	{'EntryType': 31, 'CtrlNo': 925, 'EntSrlNo': 1, 'DocNoPrefix': 'R25', 'DocNo': 14, 'DocDt': datetime.datetime(2025, 8, 3, 0, 0), 'DocTime': datetime.datetime(2025, 8, 3, 21, 26, 5, 30000), 'SaleRefTrnType': 1300, 'SaleRefDocPrefix': 'SR25', 'SaleRefDocNo': 14, 'PayModeType': 8, 'PayModeCode': 'Credit Note', 'PaidUnits': Decimal('1592.0000'), 'AppliedConvRate': Decimal('0.0000'), 'LocCurrRcptAmt': Decimal('1592.0000'), 'LocCurrPaidAmt': Decimal('0.0000'), 'LocCurrNetAmt': Decimal('1592.0000'), 'T
2026-05-03 19:08:25	Shoper9X01	POSCashTrn	INSERT	1	16643	{'EntryType': 31, 'CtrlNo': 925, 'EntSrlNo': 1, 'DocNoPrefix': 'R25', 'DocNo': 14, 'DocDt': datetime.datetime(2025, 8, 3, 0, 0), 'DocTime': datetime.datetime(2025, 8, 3, 21, 26, 5, 30000), 'SaleRefTrnType': 1300, 'SaleRefDocPrefix': 'SR25', 'SaleRefDocNo': 14, 'PayModeType': 8, 'PayModeCode': 'Credit Note', 'PaidUnits': Decimal('1592.0000'), 'AppliedConvRate': Decimal('0.0000'), 'LocCurrRcptAmt': Decimal('1592.0000'), 'LocCurrPaidAmt': Decimal('0.0000'), 'LocCurrNetAmt': Decimal('1592.0000'), 'T
2026-05-03 19:08:25	SHOPER9X01	SaleTrnHdr	INSERT	1	36106	{'SaleTrnType': 2100, 'SaleTrnCtrlNo': 112065, 'ProdServInd': '1', 'BillType': '1', 'DocNoPrefix': 'SS25', 'DocNo': 2117, 'DocDt': datetime.datetime(2025, 8, 14, 0, 0), 'DocTime': datetime.datetime(2026, 5, 3, 6, 38, 24, 697000), 'FwdRefTrnType': 0, 'FwdRefCtrlNo': 0, 'BackRefTrnType': 0, 'BackRefCtrlNo': 0, 'CustCd': 'Aditi001', 'SalesPersonCd': 'JI', 'CashierCd': 'super', 'CustTaxType': '0', 'StkTrnTypeSale': 2100, 'StkTrnCtrlNoSale': 112065, 'StkTrnTypeGift': 0, 'StkTrnCtrlNoGift': 0, 'TransD
2026-05-03 19:08:25	Shoper9X01	SaleTrnHdr	INSERT	1	36106	{'SaleTrnType': 2100, 'SaleTrnCtrlNo': 112065, 'ProdServInd': '1', 'BillType': '1', 'DocNoPrefix': 'SS25', 'DocNo': 2117, 'DocDt': datetime.datetime(2025, 8, 14, 0, 0), 'DocTime': datetime.datetime(2026, 5, 3, 6, 38, 24, 697000), 'FwdRefTrnType': 0, 'FwdRefCtrlNo': 0, 'BackRefTrnType': 0, 'BackRefCtrlNo': 0, 'CustCd': 'Aditi001', 'SalesPersonCd': 'JI', 'CashierCd': 'super', 'CustTaxType': '0', 'StkTrnTypeSale': 2100, 'StkTrnCtrlNoSale': 112065, 'StkTrnTypeGift': 0, 'StkTrnCtrlNoGift': 0, 'TransD
2026-05-03 19:08:25	Shoper9X01	StkTrnHdr	INSERT	1	16484	{'TrnType': 2200, 'TrnCtrlNo': 33, 'DocNoPrefix': 'TO23', 'DocNo': 2, 'DocRsnCd': 'TFR', 'DocDt': datetime.datetime(2024, 2, 24, 0, 0), 'DocTime': datetime.datetime(2024, 2, 24, 14, 1, 10, 550000), 'PackCountDoc': 0, 'PackCountPhy': 0, 'PartyType': 20, 'PartyId': 'CWS', 'PartyStkDocDt': datetime.datetime(1900, 1, 1, 0, 0), 'OrdDocType': 0, 'OrdDocNo': 0, 'AccDocTyp': 0, 'TotDocValue': Decimal('46073.4000'), 'TotDocDisc': Decimal('0.0000'), 'TotDocTax': Decimal('0.0000'), 'TotDocAddons': Decimal(
2026-05-03 19:08:25	Shoper9X01	POSCashTrn	INSERT	1	16643	{'EntryType': 31, 'CtrlNo': 925, 'EntSrlNo': 1, 'DocNoPrefix': 'R25', 'DocNo': 14, 'DocDt': datetime.datetime(2025, 8, 3, 0, 0), 'DocTime': datetime.datetime(2025, 8, 3, 21, 26, 5, 30000), 'SaleRefTrnType': 1300, 'SaleRefDocPrefix': 'SR25', 'SaleRefDocNo': 14, 'PayModeType': 8, 'PayModeCode': 'Credit Note', 'PaidUnits': Decimal('1592.0000'), 'AppliedConvRate': Decimal('0.0000'), 'LocCurrRcptAmt': Decimal('1592.0000'), 'LocCurrPaidAmt': Decimal('0.0000'), 'LocCurrNetAmt': Decimal('1592.0000'), 'T
2026-05-03 19:08:25	Shoper9X01	SaleTrnHdr	INSERT	1	36106	{'SaleTrnType': 2100, 'SaleTrnCtrlNo': 112065, 'ProdServInd': '1', 'BillType': '1', 'DocNoPrefix': 'SS25', 'DocNo': 2117, 'DocDt': datetime.datetime(2025, 8, 14, 0, 0), 'DocTime': datetime.datetime(2026, 5, 3, 6, 38, 24, 697000), 'FwdRefTrnType': 0, 'FwdRefCtrlNo': 0, 'BackRefTrnType': 0, 'BackRefCtrlNo': 0, 'CustCd': 'Aditi001', 'SalesPersonCd': 'JI', 'CashierCd': 'super', 'CustTaxType': '0', 'StkTrnTypeSale': 2100, 'StkTrnCtrlNoSale': 112065, 'StkTrnTypeGift': 0, 'StkTrnCtrlNoGift': 0, 'TransD
2026-05-03 19:08:25	Shoper9X01	StkTrnHdr	INSERT	1	16484	{'TrnType': 2200, 'TrnCtrlNo': 33, 'DocNoPrefix': 'TO23', 'DocNo': 2, 'DocRsnCd': 'TFR', 'DocDt': datetime.datetime(2024, 2, 24, 0, 0), 'DocTime': datetime.datetime(2024, 2, 24, 14, 1, 10, 550000), 'PackCountDoc': 0, 'PackCountPhy': 0, 'PartyType': 20, 'PartyId': 'CWS', 'PartyStkDocDt': datetime.datetime(1900, 1, 1, 0, 0), 'OrdDocType': 0, 'OrdDocNo': 0, 'AccDocTyp': 0, 'TotDocValue': Decimal('46073.4000'), 'TotDocDisc': Decimal('0.0000'), 'TotDocTax': Decimal('0.0000'), 'TotDocAddons': Decimal(
